Data Table for Daily Case Trends - Idaho
Date generated: Tue Nov 30 2021 20:41:25 GMT-0700 (Mountain Standard Time)
State,Date,New Cases,7-Day Moving Avg,Total Doses Administered
Idaho,Nov 29 2021,447,325,1882862
Idaho,Nov 28 2021,0,352,1882862
Idaho,Nov 27 2021,238,352,1882251
Idaho,Nov 26 2021,391,353,1880110
Idaho,Nov 25 2021,0,391,1876623
Idaho,Nov 24 2021,570,470,1876593
Idaho,Nov 23 2021,635,481,1872269
Idaho,Nov 22 2021,632,485,1865795
Idaho,Nov 21 2021,0,492,1859006
Idaho,Nov 20 2021,246,492,1857420
Idaho,Nov 19 2021,656,496,1854507
Idaho,Nov 18 2021,553,537,1846328
Idaho,Nov 17 2021,650,458,1840063
Idaho,Nov 16 2021,664,468,1833635
Idaho,Nov 15 2021,678,483,1827334
Idaho,Nov 14 2021,0,507,1821666
Idaho,Nov 13 2021,273,507,1820447
Idaho,Nov 12 2021,942,518,1818107
Idaho,Nov 11 2021,0,498,1810188
Idaho,Nov 10 2021,724,592,1804091
Idaho,Nov  9 2021,768,667,1801126
Idaho,Nov  8 2021,843,689,1796161
Idaho,Nov  7 2021,0,711,1790209
Idaho,Nov  6 2021,349,721,1788985
Idaho,Nov  5 2021,803,725,1785942
Idaho,Nov  4 2021,662,764,1776415
Idaho,Nov  3 2021,1244,794,1768921
Idaho,Nov  2 2021,924,794,1761573
Idaho,Nov  1 2021,1001,854,1753967
Idaho,Oct 31 2021,64,867,1747415
Idaho,Oct 30 2021,380,892,1745952
Idaho,Oct 29 2021,1076,942,1742622
Idaho,Oct 28 2021,873,999,1733717
Idaho,Oct 27 2021,1244,1064,1725045
Idaho,Oct 26 2021,1344,1108,1716198
Idaho,Oct 25 2021,1090,1125,1707771
Idaho,Oct 24 2021,242,1154,1700488
Idaho,Oct 23 2021,725,1163,1698697
Idaho,Oct 22 2021,1480,1171,1695007
Idaho,Oct 21 2021,1328,1176,1687980
Idaho,Oct 20 2021,1549,1263,1683350
Idaho,Oct 19 2021,1464,1331,1679050
Idaho,Oct 18 2021,1290,1261,1674344
Idaho,Oct 17 2021,305,1215,1669591
Idaho,Oct 16 2021,782,1201,1668514
Idaho,Oct 15 2021,1520,1202,1666062
Idaho,Oct 14 2021,1935,1225,1660438
Idaho,Oct 13 2021,2024,1137,1655595
Idaho,Oct 12 2021,971,1043,1650808
Idaho,Oct 11 2021,970,1167,1645736
Idaho,Oct 10 2021,206,1187,1641020
Idaho,Oct  9 2021,790,1206,1640158
Idaho,Oct  8 2021,1682,1223,1639527
Idaho,Oct  7 2021,1321,1237,1633861
Idaho,Oct  6 2021,1367,1320,1627687
Idaho,Oct  5 2021,1835,1365,1621997
Idaho,Oct  4 2021,1108,1297,1616169
Idaho,Oct  3 2021,339,1342,1610400
Idaho,Oct  2 2021,912,1350,1608926
Idaho,Oct  1 2021,1778,1337,1605666
Idaho,Sep 30 2021,1905,1318,1598875
Idaho,Sep 29 2021,1684,1238,1592658
Idaho,Sep 28 2021,1355,1191,1586039
Idaho,Sep 27 2021,1423,1259,1579367
Idaho,Sep 26 2021,399,1233,1572705
Idaho,Sep 25 2021,816,1219,1570952
Idaho,Sep 24 2021,1646,1211,1567446
Idaho,Sep 23 2021,1345,1223,1561207
Idaho,Sep 22 2021,1354,1204,1557670
Idaho,Sep 21 2021,1830,1199,1554068
Idaho,Sep 20 2021,1244,1174,1550383
Idaho,Sep 19 2021,300,1202,1546421
Idaho,Sep 18 2021,758,1206,1545309
Idaho,Sep 17 2021,1730,1233,1542996
Idaho,Sep 16 2021,1218,1211,1538021
Idaho,Sep 15 2021,1315,1245,1534060
Idaho,Sep 14 2021,1657,1272,1530324
Idaho,Sep 13 2021,1436,1126,1526472
Idaho,Sep 12 2021,330,1012,1522299
Idaho,Sep 11 2021,947,1056,1521207
Idaho,Sep 10 2021,1574,1012,1518743
Idaho,Sep  9 2021,1459,985,1513502
Idaho,Sep  8 2021,1504,1006,1509348
Idaho,Sep  7 2021,638,957,1505182
Idaho,Sep  6 2021,637,1041,1500816
Idaho,Sep  5 2021,637,1059,1500148
Idaho,Sep  4 2021,637,1076,1499051
Idaho,Sep  3 2021,1388,1093,1497064
Idaho,Sep  2 2021,1604,1014,1492565
Idaho,Sep  1 2021,1163,927,1489003
Idaho,Aug 31 2021,1226,906,1485183
Idaho,Aug 30 2021,760,879,1481438
Idaho,Aug 29 2021,758,821,1477662
Idaho,Aug 28 2021,758,764,1476569
Idaho,Aug 27 2021,834,706,1474466
Idaho,Aug 26 2021,992,675,1469799
Idaho,Aug 25 2021,1019,647,1465817
Idaho,Aug 24 2021,1032,675,1461854
Idaho,Aug 23 2021,359,657,1458369
Idaho,Aug 22 2021,356,670,1454550
Idaho,Aug 21 2021,356,684,1453694
Idaho,Aug 20 2021,612,697,1451761
Idaho,Aug 19 2021,795,721,1447410
Idaho,Aug 18 2021,1217,715,1443748
Idaho,Aug 17 2021,904,646,1440235
Idaho,Aug 16 2021,455,625,1436808
Idaho,Aug 15 2021,451,605,1433110
Idaho,Aug 14 2021,451,585,1432134
Idaho,Aug 13 2021,780,566,1430221
Idaho,Aug 12 2021,751,551,1426485
Idaho,Aug 11 2021,736,550,1423728
Idaho,Aug 10 2021,754,536,1421059
Idaho,Aug  9 2021,316,525,1418577
Idaho,Aug  8 2021,313,522,1416034
Idaho,Aug  7 2021,313,518,1415287
Idaho,Aug  6 2021,679,515,1413782
Idaho,Aug  5 2021,743,493,1410879
Idaho,Aug  4 2021,637,450,1408421
Idaho,Aug  3 2021,680,410,1405895
Idaho,Aug  2 2021,290,358,1403362
Idaho,Aug  1 2021,289,343,1400954
Idaho,Jul 31 2021,289,328,1400269
Idaho,Jul 30 2021,529,312,1399001
Idaho,Jul 29 2021,439,277,1396314
Idaho,Jul 28 2021,358,247,1394138
Idaho,Jul 27 2021,318,243,1392148
Idaho,Jul 26 2021,182,232,1390107
Idaho,Jul 25 2021,181,223,1388072
Idaho,Jul 24 2021,181,214,1387593
Idaho,Jul 23 2021,282,205,1386502
Idaho,Jul 22 2021,233,188,1384036
Idaho,Jul 21 2021,325,184,1382093
Idaho,Jul 20 2021,245,163,1380372
Idaho,Jul 19 2021,119,154,1378816
Idaho,Jul 18 2021,118,151,1377211
Idaho,Jul 17 2021,118,149,1376788
Idaho,Jul 16 2021,161,146,1375753
Idaho,Jul 15 2021,206,142,1374024
Idaho,Jul 14 2021,179,133,1372617
Idaho,Jul 13 2021,182,125,1371189
Idaho,Jul 12 2021,99,109,1369669
Idaho,Jul 11 2021,99,104,1368140
Idaho,Jul 10 2021,99,99,1367727
Idaho,Jul  9 2021,135,94,1366813
Idaho,Jul  8 2021,144,86,1364791
Idaho,Jul  7 2021,123,79,1363034
Idaho,Jul  6 2021,65,75,1361487
Idaho,Jul  5 2021,64,77,1359713
Idaho,Jul  4 2021,64,74,1358745
Idaho,Jul  3 2021,64,71,1358636
Idaho,Jul  2 2021,83,68,1357925
Idaho,Jul  1 2021,91,68,1356242
Idaho,Jun 30 2021,97,68,1354565
Idaho,Jun 29 2021,77,76,1352906
Idaho,Jun 28 2021,46,82,1351239
Idaho,Jun 27 2021,44,84,1349700
Idaho,Jun 26 2021,44,86,1349229
Idaho,Jun 25 2021,81,89,1348101
Idaho,Jun 24 2021,89,86,1346052
Idaho,Jun 23 2021,153,85,1344057
Idaho,Jun 22 2021,118,76,1342152
Idaho,Jun 21 2021,63,72,1341178
Idaho,Jun 20 2021,60,74,1340036
Idaho,Jun 19 2021,60,76,1339595
Idaho,Jun 18 2021,60,78,1338355
Idaho,Jun 17 2021,87,87,1335802
Idaho,Jun 16 2021,87,89,1332949
Idaho,Jun 15 2021,89,96,1330567
Idaho,Jun 14 2021,78,101,1327636
Idaho,Jun 13 2021,75,103,1325317
Idaho,Jun 12 2021,75,105,1324666
Idaho,Jun 11 2021,118,102,1323011
Idaho,Jun 10 2021,102,109,1319757
Idaho,Jun  9 2021,138,116,1316242
Idaho,Jun  8 2021,127,121,1313150
Idaho,Jun  7 2021,89,136,1310040
Idaho,Jun  6 2021,87,126,1307056
Idaho,Jun  5 2021,59,117,1306200
Idaho,Jun  4 2021,165,111,1304238
Idaho,Jun  3 2021,152,107,1300717
Idaho,Jun  2 2021,173,105,1296893
Idaho,Jun  1 2021,227,108,1293297
Idaho,May 31 2021,22,97,1289462
Idaho,May 30 2021,22,112,1289022
Idaho,May 29 2021,22,126,1288397
Idaho,May 28 2021,135,134,1286790
Idaho,May 27 2021,139,139,1283064
Idaho,May 26 2021,192,146,1278689
Idaho,May 25 2021,149,153,1274456
Idaho,May 24 2021,126,159,1270334
Idaho,May 23 2021,124,161,1266339
Idaho,May 22 2021,79,163,1265350
Idaho,May 21 2021,168,165,1262799
Idaho,May 20 2021,188,166,1257348
Idaho,May 19 2021,240,160,1251327
Idaho,May 18 2021,193,158,1245672
