Data Table for Daily Death Trends - Idaho
Date generated: Tue Nov 30 2021 18:07:52 GMT-0700 (Mountain Standard Time)
State,Date,New Deaths,7-Day Moving Avg,Current Hospitalized COVID-19 Patients
Idaho,Nov 29 2021,22,8,N/A
Idaho,Nov 28 2021,0,7,299.14
Idaho,Nov 27 2021,8,7,298
Idaho,Nov 26 2021,0,6,297.14
Idaho,Nov 25 2021,0,12,298
Idaho,Nov 24 2021,8,12,300.57
Idaho,Nov 23 2021,21,14,304.43
Idaho,Nov 22 2021,16,15,309.43
Idaho,Nov 21 2021,0,14,315.14
Idaho,Nov 20 2021,1,14,313.71
Idaho,Nov 19 2021,39,15,312.71
Idaho,Nov 18 2021,5,14,314.57
Idaho,Nov 17 2021,16,14,315.71
Idaho,Nov 16 2021,33,14,318.86
Idaho,Nov 15 2021,7,10,323.29
Idaho,Nov 14 2021,0,14,330
Idaho,Nov 13 2021,10,14,346.71
Idaho,Nov 12 2021,32,13,363.71
Idaho,Nov 11 2021,0,10,377.43
Idaho,Nov 10 2021,22,14,388.43
Idaho,Nov  9 2021,3,14,398.57
Idaho,Nov  8 2021,32,15,409.29
Idaho,Nov  7 2021,0,15,415.57
Idaho,Nov  6 2021,2,15,421.71
Idaho,Nov  5 2021,15,15,429
Idaho,Nov  4 2021,29,17,438.57
Idaho,Nov  3 2021,23,14,450.71
Idaho,Nov  2 2021,6,14,462.86
Idaho,Nov  1 2021,33,20,474.29
Idaho,Oct 31 2021,0,17,487.57
Idaho,Oct 30 2021,4,17,501.14
Idaho,Oct 29 2021,25,18,511.86
Idaho,Oct 28 2021,8,18,520.14
Idaho,Oct 27 2021,28,22,530
Idaho,Oct 26 2021,45,22,538.57
Idaho,Oct 25 2021,15,18,547
Idaho,Oct 24 2021,0,22,554.29
Idaho,Oct 23 2021,10,22,555.86
Idaho,Oct 22 2021,26,21,559.29
Idaho,Oct 21 2021,31,22,563.14
Idaho,Oct 20 2021,30,22,565.29
Idaho,Oct 19 2021,18,22,569.29
Idaho,Oct 18 2021,42,22,575.43
Idaho,Oct 17 2021,0,19,585.29
Idaho,Oct 16 2021,5,19,596.43
Idaho,Oct 15 2021,34,19,605.71
Idaho,Oct 14 2021,30,21,615.57
Idaho,Oct 13 2021,30,21,631.14
Idaho,Oct 12 2021,18,23,645.71
Idaho,Oct 11 2021,17,22,660.14
Idaho,Oct 10 2021,0,22,669.57
Idaho,Oct  9 2021,5,22,681.57
Idaho,Oct  8 2021,53,26,698.29
Idaho,Oct  7 2021,24,22,712.14
