Data Table for Daily Death Trends - Idaho
Date generated: Tue Nov 30 2021 20:41:54 GMT-0700 (Mountain Standard Time)
State,Date,New Deaths,7-Day Moving Avg,Total Doses Administered
Idaho,Nov 29 2021,22,8,1882862
Idaho,Nov 28 2021,0,7,1882862
Idaho,Nov 27 2021,8,7,1882251
Idaho,Nov 26 2021,0,6,1880110
Idaho,Nov 25 2021,0,12,1876623
Idaho,Nov 24 2021,8,12,1876593
Idaho,Nov 23 2021,21,14,1872269
Idaho,Nov 22 2021,16,15,1865795
Idaho,Nov 21 2021,0,14,1859006
Idaho,Nov 20 2021,1,14,1857420
Idaho,Nov 19 2021,39,15,1854507
Idaho,Nov 18 2021,5,14,1846328
Idaho,Nov 17 2021,16,14,1840063
Idaho,Nov 16 2021,33,14,1833635
Idaho,Nov 15 2021,7,10,1827334
Idaho,Nov 14 2021,0,14,1821666
Idaho,Nov 13 2021,10,14,1820447
Idaho,Nov 12 2021,32,13,1818107
Idaho,Nov 11 2021,0,10,1810188
Idaho,Nov 10 2021,22,14,1804091
Idaho,Nov  9 2021,3,14,1801126
Idaho,Nov  8 2021,32,15,1796161
Idaho,Nov  7 2021,0,15,1790209
Idaho,Nov  6 2021,2,15,1788985
Idaho,Nov  5 2021,15,15,1785942
Idaho,Nov  4 2021,29,17,1776415
Idaho,Nov  3 2021,23,14,1768921
Idaho,Nov  2 2021,6,14,1761573
Idaho,Nov  1 2021,33,20,1753967
Idaho,Oct 31 2021,0,17,1747415
Idaho,Oct 30 2021,4,17,1745952
Idaho,Oct 29 2021,25,18,1742622
Idaho,Oct 28 2021,8,18,1733717
Idaho,Oct 27 2021,28,22,1725045
Idaho,Oct 26 2021,45,22,1716198
Idaho,Oct 25 2021,15,18,1707771
Idaho,Oct 24 2021,0,22,1700488
Idaho,Oct 23 2021,10,22,1698697
Idaho,Oct 22 2021,26,21,1695007
Idaho,Oct 21 2021,31,22,1687980
Idaho,Oct 20 2021,30,22,1683350
Idaho,Oct 19 2021,18,22,1679050
Idaho,Oct 18 2021,42,22,1674344
Idaho,Oct 17 2021,0,19,1669591
Idaho,Oct 16 2021,5,19,1668514
Idaho,Oct 15 2021,34,19,1666062
Idaho,Oct 14 2021,30,21,1660438
Idaho,Oct 13 2021,30,21,1655595
Idaho,Oct 12 2021,18,23,1650808
Idaho,Oct 11 2021,17,22,1645736
Idaho,Oct 10 2021,0,22,1641020
Idaho,Oct  9 2021,5,22,1640158
Idaho,Oct  8 2021,53,26,1639527
Idaho,Oct  7 2021,24,22,1633861
Idaho,Oct  6 2021,47,26,1627687
Idaho,Oct  5 2021,11,23,1621997
Idaho,Oct  4 2021,19,27,1616169
Idaho,Oct  3 2021,0,30,1610400
Idaho,Oct  2 2021,33,30,1608926
Idaho,Oct  1 2021,24,25,1605666
Idaho,Sep 30 2021,53,26,1598875
Idaho,Sep 29 2021,24,23,1592658
Idaho,Sep 28 2021,40,24,1586039
Idaho,Sep 27 2021,37,20,1579367
Idaho,Sep 26 2021,0,16,1572705
Idaho,Sep 25 2021,0,16,1570952
Idaho,Sep 24 2021,34,20,1567446
Idaho,Sep 23 2021,32,17,1561207
Idaho,Sep 22 2021,25,18,1557670
Idaho,Sep 21 2021,13,22,1554068
Idaho,Sep 20 2021,13,23,1550383
Idaho,Sep 19 2021,0,23,1546421
Idaho,Sep 18 2021,23,23,1545309
Idaho,Sep 17 2021,13,21,1542996
Idaho,Sep 16 2021,40,21,1538021
Idaho,Sep 15 2021,55,19,1534060
Idaho,Sep 14 2021,20,13,1530324
Idaho,Sep 13 2021,13,12,1526472
Idaho,Sep 12 2021,0,11,1522299
Idaho,Sep 11 2021,12,12,1521207
Idaho,Sep 10 2021,13,11,1518743
Idaho,Sep  9 2021,21,9,1513502
Idaho,Sep  8 2021,15,7,1509348
Idaho,Sep  7 2021,11,6,1505182
Idaho,Sep  6 2021,7,9,1500816
Idaho,Sep  5 2021,7,9,1500148
Idaho,Sep  4 2021,7,8,1499051
Idaho,Sep  3 2021,0,7,1497064
Idaho,Sep  2 2021,8,8,1492565
Idaho,Sep  1 2021,8,7,1489003
Idaho,Aug 31 2021,32,7,1485183
Idaho,Aug 30 2021,2,4,1481438
Idaho,Aug 29 2021,1,4,1477662
Idaho,Aug 28 2021,1,5,1476569
Idaho,Aug 27 2021,8,6,1474466
Idaho,Aug 26 2021,3,5,1469799
Idaho,Aug 25 2021,8,5,1465817
Idaho,Aug 24 2021,7,7,1461854
Idaho,Aug 23 2021,6,7,1458369
Idaho,Aug 22 2021,6,6,1454550
Idaho,Aug 21 2021,6,6,1453694
Idaho,Aug 20 2021,2,5,1451761
Idaho,Aug 19 2021,1,6,1447410
Idaho,Aug 18 2021,22,6,1443748
Idaho,Aug 17 2021,7,4,1440235
Idaho,Aug 16 2021,4,3,1436808
Idaho,Aug 15 2021,1,3,1433110
Idaho,Aug 14 2021,1,3,1432134
Idaho,Aug 13 2021,9,4,1430221
Idaho,Aug 12 2021,0,3,1426485
Idaho,Aug 11 2021,10,3,1423728
Idaho,Aug 10 2021,2,2,1421059
Idaho,Aug  9 2021,3,3,1418577
Idaho,Aug  8 2021,2,2,1416034
Idaho,Aug  7 2021,2,2,1415287
Idaho,Aug  6 2021,3,2,1413782
Idaho,Aug  5 2021,4,2,1410879
Idaho,Aug  4 2021,1,2,1408421
Idaho,Aug  3 2021,6,2,1405895
Idaho,Aug  2 2021,2,2,1403362
Idaho,Aug  1 2021,2,2,1400954
Idaho,Jul 31 2021,2,2,1400269
Idaho,Jul 30 2021,2,2,1399001
Idaho,Jul 29 2021,5,2,1396314
Idaho,Jul 28 2021,1,1,1394138
Idaho,Jul 27 2021,1,1,1392148
Idaho,Jul 26 2021,3,1,1390107
Idaho,Jul 25 2021,1,1,1388072
Idaho,Jul 24 2021,1,1,1387593
Idaho,Jul 23 2021,3,1,1386502
Idaho,Jul 22 2021,1,1,1384036
Idaho,Jul 21 2021,2,2,1382093
Idaho,Jul 20 2021,1,1,1380372
Idaho,Jul 19 2021,3,1,1378816
Idaho,Jul 18 2021,0,1,1377211
Idaho,Jul 17 2021,0,1,1376788
Idaho,Jul 16 2021,4,1,1375753
Idaho,Jul 15 2021,4,0,1374024
Idaho,Jul 14 2021,0,0,1372617
Idaho,Jul 13 2021,0,0,1371189
Idaho,Jul 12 2021,0,1,1369669
Idaho,Jul 11 2021,0,1,1368140
Idaho,Jul 10 2021,0,1,1367727
Idaho,Jul  9 2021,2,1,1366813
Idaho,Jul  8 2021,1,1,1364791
Idaho,Jul  7 2021,3,1,1363034
Idaho,Jul  6 2021,1,1,1361487
Idaho,Jul  5 2021,0,1,1359713
Idaho,Jul  4 2021,0,1,1358745
Idaho,Jul  3 2021,0,1,1358636
Idaho,Jul  2 2021,4,1,1357925
Idaho,Jul  1 2021,2,1,1356242
Idaho,Jun 30 2021,3,1,1354565
Idaho,Jun 29 2021,4,1,1352906
Idaho,Jun 28 2021,0,1,1351239
Idaho,Jun 27 2021,0,3,1349700
Idaho,Jun 26 2021,0,3,1349229
Idaho,Jun 25 2021,2,3,1348101
Idaho,Jun 24 2021,3,3,1346052
Idaho,Jun 23 2021,0,2,1344057
Idaho,Jun 22 2021,4,3,1342152
Idaho,Jun 21 2021,14,2,1341178
Idaho,Jun 20 2021,0,0,1340036
Idaho,Jun 19 2021,0,0,1339595
Idaho,Jun 18 2021,0,0,1338355
Idaho,Jun 17 2021,0,0,1335802
Idaho,Jun 16 2021,6,0,1332949
Idaho,Jun 15 2021,0,1,1330567
Idaho,Jun 14 2021,0,1,1327636
Idaho,Jun 13 2021,0,1,1325317
Idaho,Jun 12 2021,0,1,1324666
Idaho,Jun 11 2021,0,2,1323011
Idaho,Jun 10 2021,0,2,1319757
Idaho,Jun  9 2021,11,2,1316242
Idaho,Jun  8 2021,0,2,1313150
Idaho,Jun  7 2021,1,2,1310040
Idaho,Jun  6 2021,0,2,1307056
Idaho,Jun  5 2021,4,2,1306200
Idaho,Jun  4 2021,0,1,1304238
Idaho,Jun  3 2021,4,1,1300717
Idaho,Jun  2 2021,7,1,1296893
Idaho,Jun  1 2021,0,0,1293297
Idaho,May 31 2021,0,0,1289462
Idaho,May 30 2021,0,1,1289022
Idaho,May 29 2021,0,1,1288397
Idaho,May 28 2021,0,1,1286790
Idaho,May 27 2021,2,1,1283064
Idaho,May 26 2021,1,2,1278689
Idaho,May 25 2021,1,2,1274456
Idaho,May 24 2021,4,2,1270334
Idaho,May 23 2021,0,1,1266339
Idaho,May 22 2021,2,1,1265350
Idaho,May 21 2021,0,1,1262799
Idaho,May 20 2021,6,2,1257348
Idaho,May 19 2021,1,1,1251327
Idaho,May 18 2021,4,2,1245672
Idaho,May 17 2021,0,1,1239905
Idaho,May 16 2021,0,1,1234883
Idaho,May 15 2021,0,1,1233702
Idaho,May 14 2021,5,1,1230426
Idaho,May 13 2021,0,2,1223712
